Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,150,0,23000.0,21204.95322199771,800.7488999282941,30843.328900053166,106.84666666666666,0.8453204219511661,0.0,23000,24000,24000,24000,26000,27000,29000,29000,31000,31000,31000
GET,/cpu_fixed,129,0,38000.0,37871.881037987514,29172.18120000325,51126.082699978724,110.65116279069767,0.7269755628780028,0.0,38000,39000,40000,40000,42000,43000,46000,48000,51000,51000,51000
GET,/health,50,40,2000.0,1645.933985998854,21.19910006877035,2061.40480004251,3.2,0.28177347398372204,0.2254187791869776,2000,2000,2000,2000,2000,2100,2100,2100,2100,2100,2100
,Aggregated,329,40,24000.0,24767.51470060787,21.19910006877035,51126.082699978724,92.58662613981762,1.854069458812891,0.2254187791869776,24000,35000,36000,38000,40000,42000,43000,45000,51000,51000,51000
