Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,157,0,29000.0,27139.35333311967,2871.7402999754995,31311.384700005874,100.80891719745223,0.8780484373173874,0.0,29000,29000,29000,29000,29000,30000,30000,31000,31000,31000,31000
GET,/cpu_fixed,135,0,29000.0,27500.496744446424,4507.3488999623805,31134.623499936424,310.85185185185185,0.7550098027888362,0.0,29000,29000,29000,29000,29000,30000,30000,31000,31000,31000,31000
GET,/health,50,20,2100.0,2861.141048001591,2021.5084999799728,4090.5492999590933,9.6,0.27963326029216157,0.11185330411686463,2100,4000,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,342,20,29000.0,23732.463702339577,2021.5084999799728,31311.384700005874,170.3859649122807,1.912691500398385,0.11185330411686463,29000,29000,29000,29000,29000,29000,30000,31000,31000,31000,31000
