Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,415,295,4100.0,10404.145126512376,3607.5432000216097,145635.89130004402,50.82650602409639,2.3278493630675197,1.654736294228719,4100,4100,9000,15000,21000,25000,70000,102000,146000,146000,146000
GET,/cpu_fixed,373,277,4100.0,11836.081461131387,4055.1687000552192,140834.5866999589,33.76407506702413,2.0922597889739394,1.5537693339028988,4100,4100,10000,22000,30000,36000,85000,118000,141000,141000,141000
GET,/health,100,100,4091.3073000265285,4069.3303569976706,4037.8240999998525,4091.3073000265285,0.0,0.5609275573656675,0.5609275573656675,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,888,672,4100.0,10292.242847077041,3607.5432000216097,145635.89130004402,37.935810810810814,4.981036709407126,3.7694331854972853,4100,4100,4100,13000,23000,32000,70000,109000,146000,146000,146000
