Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,1897,1745,4100.0,8096.885268949451,3528.4089000197127,82793.06379996706,8.082762256193991,10.61273002791909,9.762368950299848,4100,4100,4100,4100,4100,52000,70000,73000,82000,83000,83000
GET,/cpu_fixed,1907,1758,4100.0,7779.479971944787,2826.921400032006,81649.00680002756,24.2884111169376,10.6686748356572,9.835097200359389,4100,4100,4100,4100,4100,43000,72000,75000,81000,82000,82000
GET,/health,200,110,4000.0,3176.4210955012823,2027.8878000099212,4115.0454999879,7.2,1.1188961547621603,0.6153928851191882,4000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,4004,3613,4100.0,7699.9360341648535,2027.8878000099212,82793.06379996706,15.756993006993007,22.40030101833845,20.212859035778425,4100,4100,4100,4100,4100,44000,70000,74000,81000,83000,83000
