Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,321,177,4100.0,12487.98970591583,589.6017999621108,173125.6898000138,78.86604361370716,1.7991327043235414,0.9920451360288687,4100,4600,5800,12000,18000,81000,129000,157000,173000,173000,173000
GET,/cpu_fixed,314,184,4100.0,12525.745333440433,3515.977800008841,161615.18610001076,54.3343949044586,1.7598992808647727,1.0312785594876375,4100,5500,8200,14000,25000,32000,119000,136000,162000,162000,162000
GET,/health,100,92,4100.0,4015.027142992476,2019.719299976714,4467.71249989979,1.28,0.5604774779824117,0.5156392797438187,4100,4100,4100,4100,4100,4200,4200,4500,4500,4500,4500
,Aggregated,735,453,4100.0,11351.335298773503,589.6017999621108,173125.6898000138,57.82993197278912,4.119509463170726,2.5389629752603247,4100,4300,5800,9200,19000,31000,119000,139000,173000,173000,173000
