Method,Name,Error,Occurrences
GET,/health,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='localhost', port=5000): Read timed out. (read timeout=2)""))",40
GET,/cpu_fixed,CatchResponseError('Status code: 0'),3
GET,/cpu?n=15000000,CatchResponseError('Status code: 0'),10
