Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,139,0,69000.0,66491.12584244496,598.6562999896705,120295.05270009395,106.80575539568345,0.7792395839527426,0.0,69000,83000,92000,96000,113000,115000,118000,120000,120000,120000,120000
GET,/cpu_fixed,128,0,139000.0,126421.22270390435,2616.817199974321,161845.3077999875,110.15625,0.7175731420572018,0.0,139000,142000,143000,143000,145000,145000,158000,161000,162000,162000,162000
GET,/health,200,122,2000.0,1739.3742495030165,34.45119992829859,4083.7358999997377,6.24,1.1212080344643778,0.6839369010232705,2000,2100,2100,2100,2100,4100,4100,4100,4100,4100,4100
,Aggregated,467,122,28000.0,55186.419374946934,34.45119992829859,161845.3077999875,64.65524625267666,2.618020760474322,0.6839369010232705,28000,88000,120000,124000,142000,143000,145000,145000,162000,162000,162000
