Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,3355,3226,4100.0,4241.590606229067,819.2449000198394,13314.063500030898,6.756482861400894,18.764872457903294,18.04336171362028,4100,4100,4100,4100,4100,4100,8500,9600,13000,13000,13000
GET,/cpu_fixed,3258,3107,4100.0,4495.33705865435,4043.637300026603,20318.8286999939,6.080110497237569,18.222341123054825,17.377782034785557,4100,4100,4100,4100,4100,4100,14000,14000,17000,20000,20000
GET,/health,200,182,4100.0,3908.400899996632,2043.2952999835834,4156.078100088052,1.44,1.1186213089659192,1.0179453911589866,4100,4100,4100,4100,4100,4100,4200,4200,4200,4200,4200
,Aggregated,6813,6515,4100.0,4353.152033024173,819.2449000198394,20318.8286999939,6.2769704975781595,38.10583488992404,36.43908913956482,4100,4100,4100,4100,4100,4100,11000,13000,16000,20000,20000
