Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,173,10,56000.0,44142.83167572781,2629.934999975376,57395.35640005488,95.0635838150289,0.9671061672851385,0.05590209059451668,56000,56000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/cpu_fixed,148,3,56000.0,46837.577162833564,3182.1641999995336,57390.23489993997,304.5472972972973,0.8273509407988469,0.016770627178355004,56000,56000,57000,57000,57000,57000,57000,57000,57000,57000,57000
GET,/health,100,40,2100.0,2848.9798070001416,2021.8706000596285,4076.1735999258235,9.6,0.5590209059451668,0.22360836237806672,2100,4000,4000,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,421,53,50000.0,35281.637246318955,2021.8706000596285,57395.35640005488,148.4061757719715,2.3534780140291525,0.2962810801509384,50000,56000,56000,57000,57000,57000,57000,57000,57000,57000,57000
