Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,145,0,23000.0,21997.985658622027,945.0120000401512,36237.2254000511,106.75172413793103,0.8168527399828905,0.0,23000,24000,25000,26000,28000,30000,32000,35000,36000,36000,36000
GET,/cpu_fixed,114,0,39000.0,38975.153853497955,6650.088299997151,52264.09569999669,110.5701754385965,0.6422152576417208,0.0,39000,41000,43000,45000,46000,48000,51000,51000,52000,52000,52000
GET,/health,50,40,2000.0,1669.0813820064068,22.227699984796345,2046.1595000233501,3.2,0.2816733586147898,0.22533868689183187,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
,Aggregated,309,40,25000.0,24971.94022297502,22.227699984796345,52264.09569999669,91.40453074433657,1.7407413562394012,0.22533868689183187,25000,33000,37000,38000,42000,46000,48000,49000,52000,52000,52000
