Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu?n=15000000,152,0,46000.0,41821.1676263255,1357.28100000415,62451.417200034484,106.84210526315789,0.8568071603506415,0.0,46000,50000,53000,55000,58000,59000,60000,61000,62000,62000,62000
GET,/cpu_fixed,113,0,68000.0,67811.97663009747,1535.245200037025,89987.08280001301,110.41592920353982,0.636968481050148,0.0,68000,75000,78000,78000,79000,82000,86000,88000,90000,90000,90000
GET,/health,100,87,2000.0,1771.2724690022878,15.691600041463971,2046.2964000180364,2.08,0.5636889212833168,0.4904093615164856,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
,Aggregated,365,87,46000.0,38895.063247404694,15.691600041463971,89987.08280001301,79.24657534246575,2.0574645626841064,0.4904093615164856,46000,57000,66000,67000,77000,78000,80000,83000,90000,90000,90000
